title,release_date,genres,language,description,poster_path,tagline,runtime,rating,vote_count,movieId
Once Were Warriors,1994-09-02,Drama,en,"A drama about a Maori family living in Auckland, New Zealand. Lee Tamahori tells the story of Beth Heke’s strong will to keep her family together during times of unemployment and abuse from her violent and alcoholic husband.",https://image.tmdb.org/t/p/w500/1nd4SsytVc96hy92g8NNVPD3mzf.jpg,"A family in crisis, a life in chaos... Nothing is more powerful than a mother's love.",99.0,7.382,452.0,1194
Strawberry and Chocolate,1993-12-01,Comedy|Drama,es,"Set in 1979, following a young Communist man's relationship with a gay Catholic writer, exploring tolerance, inclusion, homophobia and challenging its Cuban audience with great humour. Based on the short story by Cuban writer Senel Paz.",https://image.tmdb.org/t/p/w500/knb8WaLJpqxztdpQY3D0ev6Ycpj.jpg,Savor the flavor.,108.0,7.1,77.0,1195
Savage Nights,1992-08-19,Drama,fr,"Jean is young, gay, and promiscuous. Only after he meets one or two women, including Laura, does he come to realize his bisexuality. Jean has to overcome a personal crisis and a tough choice between Laura and his male lover Samy.",https://image.tmdb.org/t/p/w500/5Onj1lmo28QklT5iiEdYlKygO7h.jpg,,126.0,6.533,76.0,1196
A Family Thing,1996-03-29,Comedy|Drama,en,"Earl Pilcher Jr. runs an equipment rental outfit in Arkansas, lives with his wife and kids and parents, and rarely takes off his gimme cap. His mother dies, leaving a letter explaining he's not her natural son, but the son of a Black woman who died in childbirth; plus, he has a half brother Ray, in Chicago, she wants him to visit. Earl makes the trip, initially receiving a cold welcome from Ray and Ray's son, Virgil. His birth mother's sister, Aunt T., an aged and blind matriarch, takes Earl in tow and insists that the family open up to him.",https://image.tmdb.org/t/p/w500/v6BAse5R1jaTgxXNKMpdphVFZTh.jpg,"With family, everything is relative.",109.0,6.447,66.0,1197
Purple Noon,1960-03-10,Crime|Drama|Thriller,fr,"Tom Ripley is a talented mimic, moocher, forger and all-around criminal improviser; but there's more to Tom Ripley than even he can guess.",https://image.tmdb.org/t/p/w500/xGVRU34izQwG8YQNfVOSfKPhD3S.jpg,Passion at ten. Envy at eleven. Murder at noon.,118.0,7.595,557.0,1198
Cemetery Man,1994-03-25,Comedy|Horror,it,"Cemetery watchman, Francesco Dellamorte, is tasked with dispatching the recently deceased when they rise from their graves.",https://image.tmdb.org/t/p/w500/cI5AV3jCuxmoQp0N7Z16SI2b7Xk.jpg,"Zombies, guns and sex, OH MY!!!",103.0,6.907,541.0,1199
Kim,1950-12-07,Adventure|Drama|Family,en,"During the British Raj, the orphan of a British soldier poses as a Hindu and is torn between his loyalty to a Buddhist mystic and aiding the English secret service.",https://image.tmdb.org/t/p/w500/koPgzZ60Kd2JI6uxJQ1pD06cIf6.jpg,Famed Spectacular Adventure Story Filmed Against Authentic Backgrounds in Mystic India The Greatest Spy Thriller of Them All!,113.0,6.2,26.0,1200
Marlene Dietrich: Shadow and Light (1996) ,,,,,,,,,,1201
Maybe... Maybe Not,1994-10-05,Comedy|Drama,de,The heterosexual man Axel is thrown out of his girlfriends home for cheating and ends up moving in with a gay man. Axel learns the advantages of living with gay men even though they are attracted to him and when his girlfriend wants him back he must make a tough decision.,https://image.tmdb.org/t/p/w500/2TcZBHcseRXLxNq2RXnKIsbKZwi.jpg,,94.0,6.261,113.0,1202
Top Hat,1935-08-29,Music|Comedy|Romance,en,"Showman Jerry Travers is working for producer Horace Hardwick in London. Jerry demonstrates his new dance steps late one night in Horace's hotel room, much to the annoyance of sleeping Dale Tremont below. She goes upstairs to complain and the two are immediately attracted to each other. Complications arise when Dale mistakes Jerry for Horace.",https://image.tmdb.org/t/p/w500/qoPBiN6PBs2NsP7BNOJGCnmwruG.jpg,They're Dancing Cheek-To-Cheek Again!,101.0,7.268,308.0,1203
To Be or Not to Be,1942-03-06,Comedy|War|Romance,en,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",https://image.tmdb.org/t/p/w500/dDQRpEoyjHT4fzw9cNklIvZuXYg.jpg,The Picture Everyone Wants to See,99.0,7.834,777.0,1204
The Secret Agent,1996-11-08,Drama|Thriller,en,"In 1880s London, pornographic bookseller Verloc is a double agent for the Russian government, providing information to Chief Inspector Heat about a lazy anarchist organization. In order for the anarchists to be arrested, an act of terrorism must occur. So Verloc decides to set up bombs – which leads to tragedy – not only for himself but also for his family, including wife Winnie and brother-in-law, Stevie.",https://image.tmdb.org/t/p/w500/6DO2BO3qp5QAyd91se4h22qifj.jpg,"In Victorian London, a city of spies,  one woman is about to be caught in a web of conspiracy and only one man has the power to protect her.",95.0,5.476,41.0,1205
Amos & Andrew,1993-03-05,Action|Comedy,en,"When Andrew Sterling, a successful black urbanite writer, buys a vacation home on a resort in New England the police mistake him for a burglar. After surrounding his home with armed men, Chief Tolliver realizes his mistake and to avoid the bad publicity offers a thief in his jail, Amos Odell a deal.",https://image.tmdb.org/t/p/w500/IdhtO8iqvmyEJtcjThthZPOiaV.jpg,Misunderstood. Misplaced. Mismatched.,96.0,5.4,162.0,1206
Jade,1995-10-13,Mystery|Thriller,en,"When a prominent art dealer is found murdered, the man's death leads to an intriguing investigation steeped in sex, corruption and crime. District Attorney David Corelli gets assigned to the case and discovers that a key suspect is his ex-lover Katrina Gavin, a beautiful psychologist who has settled down with his old friend and peer. As Corelli gets deeper into the case, he uncovers dark secrets with far-reaching implications.",https://image.tmdb.org/t/p/w500/8KWiZKDYpAgh8n27lanvTuDquyX.jpg,Some fantasies go too far.,95.0,5.451,275.0,1207
Kiss of Death,1995-04-21,Crime|Thriller|Drama,en,"Jimmy Kilmartin's an ex-con who's trying to go straight. But he can't say no to a quick driving job because his so-called friend's life is threatened. The job is for Little Junior Brown, a violent and powerful villain. When things go wrong, Jimmy is left to do the time, and his whole life is turned upside-down, but if that wasn't enough, the cops won't leave Jimmy alone when he gets out... They want Little Junior Brown.",https://image.tmdb.org/t/p/w500/2cCxEqeIy6Q8HgVjfT7obOnF5Zi.jpg,Little Junior Brown. He rules the streets. He owns the game. But he doesn't own all of the players.,101.0,5.664,333.0,1208
Mixed Nuts,,,,,,,,,,1209
Virtuosity,,,,,,,,,,1210
Blue Sky,,,,,,,,,,1211
Flesh and Bone,,,,,,,,,,1212
Guilty as Sin,,,,,,,,,,1213
In the Realm of the Senses (Ai no corrida),,,,,,,,,,1214
Barb Wire,,,,,,,,,,1215
Kissed,,,,,,,,,,1216
Assassins,,,,,,,,,,1217
Friday,,,,,,,,,,1218
"Goofy Movie, A",,,,,,,,,,1219
Higher Learning,,,,,,,,,,1220
When a Man Loves a Woman,,,,,,,,,,1221
Judgment Night,,,,,,,,,,1222
King of the Hill,,,,,,,,,,1223
"Scout, The",,,,,,,,,,1224
Angus,,,,,,,,,,1225
Night Falls on Manhattan,,,,,,,,,,1226
"Awfully Big Adventure, An",,,,,,,,,,1227
Under Siege 2: Dark Territory,,,,,,,,,,1228
Poison Ivy II,,,,,,,,,,1229
Ready to Wear (Pret-A-Porter),,,,,,,,,,1230
Marked for Death,,,,,,,,,,1231
Madonna: Truth or Dare,,,,,,,,,,1232
Nénette et Boni,,,,,,,,,,1233
Chairman of the Board,,,,,,,,,,1234
"Big Bang Theory, The",,,,,,,,,,1235
"Other Voices, Other Rooms",,,,,,,,,,1236
Twisted,,,,,,,,,,1237
Full Speed,,,,,,,,,,1238
Cutthroat Island,,,,,,,,,,1239
Ghost in the Shell (Kokaku kidotai),,,,,,,,,,1240
"Van, The",,,,,,,,,,1241
"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La)",,,,,,,,,,1242
Night Flier,,,,,,,,,,1243
Metro,,,,,,,,,,1244
Gridlock'd,,,,,,,,,,1245
Bushwhacked,,,,,,,,,,1246
Bad Girls,,,,,,,,,,1247
Blink,,,,,,,,,,1248
For Love or Money,,,,,,,,,,1249
Best of the Best 3: No Turning Back,,,,,,,,,,1250
A Chef in Love,,,,,,,,,,1251
"Contempt (Mépris, Le)",,,,,,,,,,1252
"Tie That Binds, The",,,,,,,,,,1253
Gone Fishin',,,,,,,,,,1254
Broken English,,,,,,,,,,1255
"Designated Mourner, The",,,,,,,,,,1256
"Designated Mourner, The",,,,,,,,,,1257
Trial and Error,,,,,,,,,,1258
Pie in the Sky,,,,,,,,,,1259
Total Eclipse,,,,,,,,,,1260
"Run of the Country, The",,,,,,,,,,1261
Walking and Talking,,,,,,,,,,1262
Foxfire,,,,,,,,,,1263
Nothing to Lose,,,,,,,,,,1264
Star Maps,,,,,,,,,,1265
Bread and Chocolate (Pane e cioccolata),,,,,,,,,,1266
Clockers,,,,,,,,,,1267
Bitter Moon,,,,,,,,,,1268
Love in the Afternoon,,,,,,,,,,1269
Life with Mikey,,,,,,,,,,1270
North,,,,,,,,,,1271
Talking About Sex,,,,,,,,,,1272
Color of Night,,,,,,,,,,1273
Robocop 3,,,,,,,,,,1274
Killer (Bulletproof Heart),,,,,,,,,,1275
Sunset Park,,,,,,,,,,1276
Set It Off,,,,,,,,,,1277
Selena,,,,,,,,,,1278
Wild America,,,,,,,,,,1279
Gang Related,,,,,,,,,,1280
Manny & Lo,,,,,,,,,,1281
"Grass Harp, The",,,,,,,,,,1282
Out to Sea,,,,,,,,,,1283
Before and After,,,,,,,,,,1284
Princess Caraboo,,,,,,,,,,1285
Shall We Dance?,,,,,,,,,,1286
Ed,,,,,,,,,,1287
Denise Calls Up,,,,,,,,,,1288
Jack and Sarah,,,,,,,,,,1289
Country Life,,,,,,,,,,1290
Celtic Pride,,,,,,,,,,1291
"Simple Wish, A",,,,,,,,,,1292
Star Kid,,,,,,,,,,1293
Ayn Rand: A Sense of Life,,,,,,,,,,1294
Kicked in the Head,,,,,,,,,,1295
Indian Summer,,,,,,,,,,1296
Love Affair,,,,,,,,,,1297
"Band Wagon, The",,,,,,,,,,1298
Penny Serenade,,,,,,,,,,1299
'Til There Was You,,,,,,,,,,1300
Stripes,,,,,,,,,,1301
Late Bloomers,,,,,,,,,,1302
"Getaway, The",,,,,,,,,,1303
New York Cop,,,,,,,,,,1304
National Lampoon's Senior Trip,,,,,,,,,,1305
Delta of Venus,,,,,,,,,,1306
Carmen Miranda: Bananas Is My Business,,,,,,,,,,1307
Babyfever,,,,,,,,,,1308
"Very Natural Thing, A",,,,,,,,,,1309
"Walk in the Sun, A",,,,,,,,,,1310
Waiting to Exhale,,,,,,,,,,1311
"Pompatus of Love, The",,,,,,,,,,1312
Palmetto,,,,,,,,,,1313
Surviving the Game,,,,,,,,,,1314
Inventing the Abbotts,,,,,,,,,,1315
"Horse Whisperer, The",,,,,,,,,,1316
"Journey of August King, The",,,,,,,,,,1317
Catwalk,,,,,,,,,,1318
"Neon Bible, The",,,,,,,,,,1319
Homage,,,,,,,,,,1320
Open Season,,,,,,,,,,1321
Metisse (Café au Lait),,,,,,,,,,1322
"Wooden Man's Bride, The (Wu Kui)",,,,,,,,,,1323
Loaded,,,,,,,,,,1324
August,,,,,,,,,,1325
Boys,,,,,,,,,,1326
Captives,,,,,,,,,,1327
Of Love and Shadows,,,,,,,,,,1328
"Low Life, The",,,,,,,,,,1329
An Unforgettable Summer,,,,,,,,,,1330
"Last Klezmer: Leopold Kozlowski, His Life and Music, The",,,,,,,,,,1331
My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud),,,,,,,,,,1332
Midnight Dancers (Sibak),,,,,,,,,,1333
Somebody to Love,,,,,,,,,,1334
American Buffalo,,,,,,,,,,1335
Kazaam,,,,,,,,,,1336
Larger Than Life,,,,,,,,,,1337
Two Deaths,,,,,,,,,,1338
Stefano Quantestorie,,,,,,,,,,1339
"Crude Oasis, The",,,,,,,,,,1340
Hedd Wyn,,,,,,,,,,1341
"Convent, The (Convento, O)",,,,,,,,,,1342
Lotto Land,,,,,,,,,,1343
"Story of Xinghua, The",,,,,,,,,,1344
"Day the Sun Turned Cold, The (Tianguo niezi)",,,,,,,,,,1345
Dingo,,,,,,,,,,1346
"Ballad of Narayama, The (Narayama Bushiko)",,,,,,,,,,1347
Every Other Weekend,,,,,,,,,,1348
Mille bolle blu,,,,,,,,,,1349
Crows and Sparrows,,,,,,,,,,1350
Lover's Knot,,,,,,,,,,1351
Shadow of Angels (Schatten der Engel),,,,,,,,,,1352
1-900,,,,,,,,,,1353
Venice/Venice,,,,,,,,,,1354
Infinity,,,,,,,,,,1355
Ed's Next Move,,,,,,,,,,1356
For the Moment,,,,,,,,,,1357
The Deadly Cure,,,,,,,,,,1358
Boys in Venice,,,,,,,,,,1359
"Sexual Life of the Belgians, The",,,,,,,,,,1360
"Search for One-eye Jimmy, The",,,,,,,,,,1361
American Strays,,,,,,,,,,1362
"Leopard Son, The",,,,,,,,,,1363
Bird of Prey,,,,,,,,,,1364
Johnny 100 Pesos,,,,,,,,,,1365
JLG/JLG - autoportrait de décembre,,,,,,,,,,1366
Faust,,,,,,,,,,1367
Mina Tannenbaum,,,,,,,,,,1368
"Forbidden Christ, The (Cristo proibito, Il)",,,,,,,,,,1369
I Can't Sleep (J'ai pas sommeil),,,,,,,,,,1370
"Machine, The",,,,,,,,,,1371
"Stranger, The",,,,,,,,,,1372
Good Morning,,,,,,,,,,1373
Falling in Love Again,,,,,,,,,,1374
"Cement Garden, The",,,,,,,,,,1375
Meet Wally Sparks,,,,,,,,,,1376
Hotel de Love,,,,,,,,,,1377
Rhyme & Reason,,,,,,,,,,1378
Love and Other Catastrophes,,,,,,,,,,1379
Hollow Reed,,,,,,,,,,1380
Losing Chase,,,,,,,,,,1381
"Bonheur, Le",,,,,,,,,,1382
"Second Jungle Book: Mowgli & Baloo, The",,,,,,,,,,1383
Squeeze,,,,,,,,,,1384
Roseanna's Grave (For Roseanna),,,,,,,,,,1385
Tetsuo II: Body Hammer,,,,,,,,,,1386
Fall,,,,,,,,,,1387
Gabbeh,,,,,,,,,,1388
Mondo,,,,,,,,,,1389
"Innocent Sleep, The",,,,,,,,,,1390
For Ever Mozart,,,,,,,,,,1391
"Locusts, The",,,,,,,,,,1392
Stag,,,,,,,,,,1393
Swept from the Sea,,,,,,,,,,1394
Hurricane Streets,,,,,,,,,,1395
Stonewall,,,,,,,,,,1396
Of Human Bondage,,,,,,,,,,1397
Anna,,,,,,,,,,1398
Stranger in the House,,,,,,,,,,1399
Picture Bride,,,,,,,,,,1400
M. Butterfly,,,,,,,,,,1401
"Ciao, Professore!",,,,,,,,,,1402
Caro Diario (Dear Diary),,,,,,,,,,1403
Withnail and I,,,,,,,,,,1404
Boy's Life 2,,,,,,,,,,1405
When Night Is Falling,,,,,,,,,,1406
"Specialist, The",,,,,,,,,,1407
Gordy,,,,,,,,,,1408
"Swan Princess, The",,,,,,,,,,1409
Harlem,,,,,,,,,,1410
Barbarella,,,,,,,,,,1411
Land Before Time III: The Time of the Great Giving (19,,,,,,,,,,1412
Street Fighter,,,,,,,,,,1413
Coldblooded,,,,,,,,,,1414
"Next Karate Kid, The",,,,,,,,,,1415
No Escape,,,,,,,,,,1416
"Turning, The",,,,,,,,,,1417
"Joy Luck Club, The",,,,,,,,,,1418
Highlander III: The Sorcerer,,,,,,,,,,1419
Gilligan's Island: The Movie,,,,,,,,,,1420
My Crazy Life (Mi vida loca),,,,,,,,,,1421
Suture,,,,,,,,,,1422
"Walking Dead, The",,,,,,,,,,1423
I Like It Like That,,,,,,,,,,1424
I'll Do Anything,,,,,,,,,,1425
Grace of My Heart,,,,,,,,,,1426
Drunks,,,,,,,,,,1427
SubUrbia,,,,,,,,,,1428
Sliding Doors,,,,,,,,,,1429
Ill Gotten Gains,,,,,,,,,,1430
Legal Deceit,,,,,,,,,,1431
"Mighty, The",,,,,,,,,,1432
Men of Means,,,,,,,,,,1433
Shooting Fish,,,,,,,,,,1434
"Steal Big, Steal Little",,,,,,,,,,1435
Mr. Jones,,,,,,,,,,1436
House Party 3,,,,,,,,,,1437
Panther,,,,,,,,,,1438
Jason's Lyric,,,,,,,,,,1439
Above the Rim,,,,,,,,,,1440
Moonlight and Valentino,,,,,,,,,,1441
"Scarlet Letter, The",,,,,,,,,,1442
8 Seconds,,,,,,,,,,1443
That Darn Cat!,,,,,,,,,,1444
Ladybird Ladybird,,,,,,,,,,1445
"Bye Bye, Love",,,,,,,,,,1446
